questions,answers,contexts
What is ZF's approach to sustainability?,"ZF sees sustainability as an integral part of its corporate strategy, with targets including full climate neutrality by 2040. ZF's approach to sustainability encompasses not only climate and nature conservation but also the aspects of people and lasting values.","ZF's sustainability approach is reflected in its commitment to become fully climate-neutral by 2040, and the company has included criteria of Environmental Social Governance (ESG) in the remuneration strategy of its top management."
What steps is ZF taking to become more attractive to external investors?,"ZF is carving out its conventional passenger car axles business, the Passive Safety Systems Division, and its shuttle business to become more attractive to external investors.","ZF wants to adapt its corporate structures to market and customer requirements and is combining the Car Chassis Technology and the Active Safety Systems divisions to form a new division, which will be unique worldwide."
What does ZF expect in 2023?,ZF expects to continue its financial independence and invest specifically in new technologies while speeding up processes and simplifying decision-making channels in the company. The company has initiated a consistent performance program to secure its continued financial independence in the future.,"ZF recorded the highest order intake in its history in 2022, and the company is consistently pursuing its path and adapting to new circumstances."
What is the significance of the partnership between ZF and Wolfspeed?,The partnership between ZF and Wolfspeed for the development of silicon carbide semiconductors is significant because this technology is central to the mobility of the future and vital for the successful development of ZF's company.,"ZF is advancing digitalization in the company because it creates efficiencies and transparency, and it enables ZF to develop products for software-defined vehicles and transfer all its processes in development, production, and administration to the cloud."
"What was the goal of the ZF Hub's relocation to a new building in Solihull, UK?","The goal of the ZF Hub's relocation to a new building in Solihull, UK was to shift the energy consumption of the ZF research and development location toward net zero."," than 60 years, the ZF Hub in Solihull (UK) moved to a new building. The new workplace for 750 ZF employees pursues the ambitious goal of shifting the energy consumption of the ZF research and development location toward net zero."
What was the result of the ZF engineers' initiative to improve the eco-balance of their location?,The result of the ZF engineers' initiative to improve the eco-balance of their location was a new standard for sustainable construction and a significant improvement in the eco-balance of their location.,The results are compelling: A new standard for sustainable construction and ZF engineers significantly improve the eco-balance of their location.
What was the percentage reduction in gas and electricity consumption in the new building compared to the previous building?,The new building consumed 75 percent less gas and 20 percent less electricity compared to the previous building.,"The numbers also add up from a financial perspective, thanks to 75 percent less gas and 20 percent less electricity consumption than the previous building."
How many megawatt hours of energy were saved in the first year of operation of the new building?,"Approximately 2,500 megawatt hours of energy were saved in the first year of operation of the new building.","In the first year of operation alone, approximately 2,500 megawatt hours of energy were saved compared to the previous location."
What is the name of the initiative developed by ZF to strengthen staff's attention to occupational safety and health?,The initiative developed by ZF to strengthen staff's attention to occupational safety and health is called ENGAGEtobeSAFE.,The ENGAGEtobeSAFE initiative pursues the approach of involving both executive managers and employees – safe working is demanded and valued.
What was the result of the ENGAGEtobeSAFE initiative in terms of accident rate reduction?,The accident rate has dropped significantly by almost 10 percent since the implementation of the ENGAGEtobeSAFE initiative.,"The measures prove to be effective: Since mid-2022, the accident rate has dropped significantly by almost 10 percent compared to the previous year."
What measures has ZF taken to improve occupational safety and health?,"ZF has taken various measures to improve occupational safety and health, including the use of additional communication means and media such as videos with personal messages, and the implementation of a joint effort involving executive managers and employees. These measures have proven to be effective, as the accident rate has dropped significantly by almost 10 percent compared to the previous year.","The measures prove to be effective: Since mid-2022, the accident rate has dropped  significantly by  almost  10 percent compared to the previous year. The joint efforts in this field as well as the  active  involvement  of executive managers and employees contribute to a sustainable improvement of  occupational safety  and health. As a result, the staff and the company benefit equally from the  increased quality of working  conditions and the corresponding results."
What is ZF's approach to sustainability?,"ZF has prepared meticulously for the German Act on Corporate Due Diligence Obligations in Supply Chains and has created a cross-functional Human Rights Working Group to integrate the core elements of the Human Rights Due Diligence approach into the relevant business processes. ZF is also revising the Global Business Partner Principles to flesh out requirements for social and ecological issues. Additionally, ZF actively participates in the 'Branchendialog Automobil' forum and has become a member of the Responsible Supply Chain Initiative (RSCI) to promote sustainability in its supply chains. ZF also has a Circularity Framework that makes the future fields of action transparent and covers a product's entire life cycle. ZF implement the circular economy in practice through remanufacturing, which restores products that are no longer functional to the condition they were in when new, and saves materials, energy and costs.","ZF ANNUAL REPORT 2022, Page 15-16, MANAGEMENT SUSTAINABILITY GROUP MANAGEMENT REPORT CONSOLIDATED FINANCIAL STATEMENTS FURTHER INFORMATION MAGAZINE FOR FISCAL YEAR 02 Sustainability"
What is the purpose of ZF's 'Virtual Release' initiative?,"The purpose of ZF's 'Virtual Release' initiative is to eliminate physical construction stages for ZF by 2025, which would shorten the validation time by about one-third.","The next step: Virtual Release The virtual development method is to eliminate physical construction stages for ZF by 2025, which would shorten the validation time by about one-third."
How does ZF's 'Lean Validation' method work?,"ZF's 'Lean Validation' method works by including simulations in the development and testing phase of new products, allowing for faster, more efficient, and cheaper development and validation.","Less work, material, and time: Digital twins allow enterprises to save and operate more sustainably on many levels. ZF has also been working to achieve this across its divisions for years. The objective is to make the development and testing phase of new products far more efficient. And ZF has achieved this: In 2022, the inclusion of simulations in ZF’s Lean Validation method made a significant contribution to the €103 million saved here."
What is a 'digital twin' in the context of ZF's development process?,"A 'digital twin' in the context of ZF's development process is a digital representation of a real product that is used in development to save time, money, and material.",Better together Working on digital twins in ZF’s product development boosts efficiency and improves cross-divisional cooperation.
What is the purpose of ZF's 'OZEAN' cloud platform?,"The purpose of ZF's 'OZEAN' cloud platform is to enable the use of data across divisions, create new business models by using data generated by sensors and applications in vehicle components, and increase the pace of development.","ZF is moving with the times, demonstrated in part by the rollout of the OZEAN cloud platform in 2022. The system is based on Microsoft Azure and not only helps ensure data can be used across divisions. ZF also creates new business models by using data generated by sensors and applications in vehicle components, while also increasing the pace of development."
What is the 'Road Condition Monitoring' application in ZF's OZEAN cloud platform?,"The 'Road Condition Monitoring' application in ZF's OZEAN cloud platform is a specific application that runs in the ZF OZEAN cloud since 2022. It uses road condition data collected by vehicles equipped with Smart Chassis Sensors and aggregates the data into an up-to-date view of road roughness, locations of potholes, speed bumps, and other road damage. The service can be used to warn road users about pothole and speed bump events and for road maintenance.",Declaring war on potholes: The Road Condition Monitoring application generates added value from the data ZF collects in intelligent chassis sensors and sends to the cloud.
What is the name of the program that ZF launched in September 2021 to promote new ideas from employees?,Kickbox,ZF launched the project in September 2021 and since then the approach has established itself as a successful innovation method.
What is the name of the first ZF employee to transform a red box into a blue box and then into a golden box?,Rebecca Kleint,Rebecca Kleint was the first ZF employee to transform a red box into a blue box and then into a golden box.
What is the name of the software assistant that Rebecca Kleint developed to help employees develop further in the company?,EDA assistant,Rebecca Kleint had the idea for a software assistant that helps employees develop further in the company.
"How many employees have already taken part in the E-Cademy, a further training initiative of ZF's Electrified Powertrain Technology Division?","20,000","The initiative proved a resounding success, with some 20,000 employees already having taken part."
"What is the name of the platform that ZF renamed the SkillsHub, which offers learning contents for further trends?",SkillsHub,The concept is proving popular: Just six weeks in and we had already received the ten thousandth registration.
What percentage of efficiency does the EVmore concept vehicle achieve from the battery to the wheels?,96.3%,"In fall 2022, ZF used the EVmore to demonstrate how much potential lies in electric mobility. The concept vehicle achieves up to 96.3 percent efficiency – from the battery to the wheels."
What is the name of the concept vehicle that ZF used to demonstrate the potential of electric mobility?,EVmore,"In fall 2022, ZF used the EVmore to demonstrate how much potential lies in electric mobility. The concept vehicle achieves up to 96.3 percent efficiency – from the battery to the wheels."
What is the name of the electric drive system that ZF developed for the Lotus Eletre?,800-volt high-performance electric drive system,"The centerpiece is the integrated 800-volt high-performance electric drive system consisting of electric motor, power electronics including control software, reduction gear unit with differential, drive shafts and motor control software from ZF."
What is the maximum torque output of the 800-volt inverter in the Lotus Eletre?,985 Nm,The 800-volt inverter with state-of-the-art silicon carbide technology as well as innovative insulation and cooling concepts ensure high power density and efficiency. Total output is up to 675 kW; maximum torque is 985 Nm.
What is the name of the chassis control software that ZF developed for the Lotus Eletre?,cubiX chassis control software,"The chassis of the Lotus Eletre also showcases ZF innovations: With the cubiX chassis control software, the first SUV from the legendary sports car brand offers a key technology that controls all chassis functions such as brakes, front and rear axle steering, the active roll stabilization system as well as the electric drive."
What is the name of the electric central drive that ZF will supply to DAF Trucks?,CeTrax 2,"This year, ZF will supply vehicle manufacturer DAF Trucks with the new CeTrax 2 electric central drive."
What is the continuous output of the CeTrax 2 electric central drive?,380 kW,"CeTrax 2 has a continuous output of 380 kW and develops peak torque of 24,700 Nm."
What is the name of the high-performance computer that ZF presented at the CES 2023?,ZF ProAI,"At the CES 2023, ZF presented a new multi-domain-capable edition of the ProAI high-performance computer."
How much total computing power does the new version of the ZF ProAI have?,"over 1,500 TOPS (Tera Operations Per Second)","Besides this flexibility, the new version is even more efficient, allowing ZF to increase total computing power to over 1,500 TOPS (Tera Operations Per Second) – on an area that takes up less space than an A4 notepad."
What is the primary objective of ZF's autonomous transport system?,To revolutionize urban mobility by providing an efficient and safe solution to the current mobility challenges in cities.,"Torsten Gollewski, Executive Vice President Autonomous Mobility Systems at ZF, said that the autonomous transport system is an efficient and safe solution to solve the mobility challenge in cities, which are no longer working."
What is the ZF ProAI's computing power?,"Up to 1,500 TOPS (Terra Operations Per Second).","The multi-domain-capable version of the ZF ProAI takes up less space than an A4 notepad and can host several operating systems in parallel with a total computing power of up to 1,500 TOPS."
What is the name of ZF's next shuttle generation?,The name of ZF's next shuttle generation is not specified in the given text.,"The article mentions that ZF's next shuttle generation will soon be entering service in the USA, and that ZF has announced a cooperation with its new customer and partner Beep to deploy several thousand units of ZF's next shuttle generation over the medium term in the United States."
What is the wind power output of ZF's gearboxes currently powering wind turbines globally?,180 gigawatts.,"The article mentions that more than 80,000 ZF gearboxes currently power wind turbines all over the globe, producing a total output of 180 gigawatts, which is enough to supply 150 million households with climate-neutral energy."
What is ZF's approach to driving technological change in the face of multiple crises?,"ZF's approach to driving technological change in the face of multiple crises is to focus on specifically advancing technological change, as stated in their Next Generation Mobility strategy. This involves investing in trendsetting technologies such as electric mobility and software-defined vehicles, while also implementing cost-cutting measures to address the challenges posed by the pandemic and geopolitical tensions. ZF aims to offset the elimination of drive systems for vehicles with internal combustion engines by implementing the transformation from conventional transmissions to electric drive solutions.","In 2022, ZF reported the highest order intake in the company’s history, with electric mobility alone accounting for a volume of well over €25 billion on the books through 2030. Despite the challenging business environment, ZF made good progress in implementing its strategy in 2022, including the presentation of new by-wire technologies and the start of volume production of the 800-volt silicon carbide inverter for electric mobility."
What is ZF's most important task this year?,"ZF's most important task this year is to focus on specifically advancing technological change, particularly in the area of silicon carbide semiconductors, to adapt better to market conditions and improve efficiency. They also aim to reduce their emissions by 80% by 2030 and include Environmental Social Governance (ESG) criteria in their top management remuneration strategy.","According to the CEO's letter in the ZF Annual Report 2022, page 39, the company's most important task this year is to focus on specifically advancing technological change, particularly in the area of silicon carbide semiconductors, to adapt better to market conditions and improve efficiency. They also aim to reduce their emissions by 80% by 2030 and include Environmental Social Governance (ESG) criteria in their top management remuneration strategy."
Who is the Chief Executive Officer of ZF Friedrichshafen AG?,Dr. Holger Klein,Dr. Holger Klein has been Chief Executive Officer of ZF Friedrichshafen AG since January 2023.
What is the name of the company that Stephan von Schuckmann joined in 2003?,ZF Friedrichshafen AG,Stephan von Schuckmann has been a member of the Board of Management of ZF Friedrichshafen AG since January 2021
What is the name of the strategy that ZF is using to transform its business?,Next Generation Mobility,Our Next Generation Mobility strategy continues to provide the right framework for our actions.
What is the name of the division that Sabine Jaskula was Head of Human Resources for?,ContiTech,"Sabine Jaskula worked in various management functions at the Continental Group in Germany and China, including as Head of Human Resources in various business units."
What is the name of the company that Sabine Jaskula was a lawyer for before joining ZF?,Mast-Jägermeister SE,Sabine Jaskula began her professional career in 1998 as Head of the Legal Department at Mast-Jägermeister SE.
What is the name of the Management Board member responsible for the commercial vehicle segment at Knorr-Bremse?,Sabine Jaskula,Sabine Jaskula became member of the Executive Board responsible for the commercial vehicle segment at Knorr-Bremse in 2016.
What is the primary objective of ZF's strategy?,"The primary objective of ZF's strategy is to ensure the company's holistic evolution by focusing on five core objectives: innovation and cost leadership, balanced market penetration, customer orientation, and the 4+1 technology fields (electrification, vehicle motion control, automation, integrated safety, and digital networking).","ZF ANNUAL REPORT 2022, page 45, Management Strategy"
What are ZF's 4+1 technology fields?,"ZF's 4+1 technology fields are electrification, vehicle motion control, automation, integrated safety, and digitalization, networking, and software.","In taking the company forward, our strategic focus is on our 4+1 technology fields: electrification, vehicle motion control, automation, integrated safety and digital networking. We are therefore advancing our portfolio across these technology fields and are combining them using integrated solutions."
What is ZF's approach to automated driving?,"ZF's approach to automated driving is to make mobility more comfortable and safer, and everyday life easier for people. ZF systems already enable vehicles to see, think and act as well as drive autonomously. This will also lead to innovative mobility concepts for which new suppliers are already positioning themselves.","Automated Driving: Automated driving will make mobility more comfortable and safer, and everyday life easier for people. ZF systems already enable vehicles to see, think and act as well as drive autonomously."
"What is the role of electronics, cloud networking, and software in ZF's transformation?","Electronics, cloud networking, and software are central basic modules for the transformation in all four technology fields: ZF will be among the leading manufacturers for mainframe computers. Along the way, our company presented the open software platform 'ZF Middleware' and established a global software center to develop individual approaches to customer-oriented software solutions.","+1 Digitalization, Networking and Software: Electronics, cloud networking and software are central basic modules for the transformation in all four technology fields: ZF will be among the leading manufacturers for mainframe computers."
What are ZF's goals for its future business?,"ZF's goals for its future business are to ensure financial independence, become a globally attractive employer, develop a diversified portfolio, and promote digitalization, networking, and software.","3. Financial independence: We aim to make our business decisions from a position of financial stability at all times. Financial independence is the foundation we build on to further increase our company value and meet the economic interests of our owners. To secure them, we engage in active financial management. Its purpose is to ensure that the balance sheet structure data remains within our target framework and that the free cash flow gives us leeway for action to implement our projects in operations."
How does ZF respond to the challenges of the Covid-19 pandemic and the war in Ukraine?,"ZF responded quickly and consistently to the worsening situation affecting several crisis areas simultaneously and managed to limit the negative effects on the company. Production was kept running almost continuously. The high additional costs due to inflation, which ran into billions for ZF, were largely offset by difficult price negotiations with our customers – coupled with our own cost savings. We are confident that buoyant incoming orders place us in a good starting point for the coming year.","Page 47, Paragraph 3"
What is ZF's goal for climate neutrality?,"ZF aims to achieve climate neutrality by 2040 through its 'Acting now.' program, which includes the certification of climate targets by the Science Based Targets Initiative, the conclusion of a long-term supply contract for green steel, and the participation in the 'Polestar 0' project to produce a completely climate-neutral vehicle by 2030.",ZF's 'Acting now.' program and its efforts towards climate neutrality are mentioned in the passage as an example of the company's commitment to sustainability.
What was the primary focus of the Supervisory Board's meetings in 2022?,"The primary focus of the Supervisory Board's meetings in 2022 was on the strategic alignment of the ZF Group, relevant legal issues, personnel matters, and the company's corporate governance, including the implementation of ESG reporting and cybersecurity risks and measures.","The Supervisory Board extensively studied the documentation and examined it themselves; all members of the Supervisory Board had access to the audit reports in good time. The auditor explained the main audit results first to the Audit Committee and then to the Supervisory Board during the board meeting on March 15, 2023. In both cases, the results were discussed in detail."
Who were the members of the Board of Management who left the company in 2022?,"The members of the Board of Management who left the company in 2022 were Chief Executive Officer Wolf-Henning Scheider, Chief Financial Officer Dr. Konstantin Sauer, and Member of the Board of Management Mr. Wilhelm Rehm.","The selection of suitable successor candidates for the departing Board members proved particularly relevant. To this end, two additional meetings were convened in the summer of 2022. An HR consultancy was called in to help with the internal and external search."
What was the focus of the Executive Committee's advisory work in 2022?,"The Executive Committee's advisory work in 2022 focused on the strategic alignment of the ZF Group, relevant legal issues, and personnel matters.","In its four regular meetings and one extraordinary meeting in 2022, the Executive Committee advised in particular on the strategic alignment of the ZF Group, relevant legal issues as well as personnel matters."
"What was the subject of the Audit Committee's meeting on December 14, 2022?","The subject of the Audit Committee's meeting on December 14, 2022, was the preparations for the annual financial statements 2022.","The Audit Committee held four regular meetings in 2022. During its meeting on December 14, 2022, preparations for the annual financial statements 2022 were discussed."
What was the focus of the Board of Management's sustainability strategy in 2022?,The focus of the Board of Management's sustainability strategy in 2022 was to reduce CO2e emissions and increase renewable energy sources.,"The company’s material topics are regularly evaluated as a basis for sustainability reporting. This is preceded by an intensive analysis of three dimensions: the effects of the global challenges on ZF’s business activities, the company’s environmental and social impacts, as well as stakeholder expectations. The topics included in this report follow the materiality analysis from summer 2021."
What are the two important levers for climate protection mentioned in the text?,The two important levers for climate protection mentioned in the text are the reduction of CO2e emissions by all possible means at ZF and its suppliers and the increase of renewable sources for the electricity consumed.,"Acting for climate and nature. To reach our long-term objective of achieving climate neutrality by 2040, acting for climate and nature remains a major task. Two important levers for climate protection are the reduction of CO2e emissions by all possible means at ZF and its suppliers and the increase of renewable sources for the electricity consumed."
What is ZF's approach to sustainability?,"ZF's approach to sustainability is anchored in the ZF Group directives and work instructions, making sustainable actions a key aspect of all business activities and day-to-day decision-making. The main pillars of ZF's sustainability management are the Principles of Social Responsibility, the environmental policy, the Respect for Human Rights policy statement, the Code of Conduct, and our Business Partner Principles. ZF also engages with diverse interest groups to consider unique insights and feedback to arrive at balanced solutions. ",ZF's sustainability strategy is described in the section 'Sustainability Strategy and Governance' of the ZF Annual Report 2022.
What is ZF's approach to sustainable financing?,"ZF has responded to the EU strategy for financing sustainable growth by implementing a climate strategy, the Green Finance Framework (GFF), and extended sustainability reporting. ZF is also preparing for the upcoming requirements of the EU taxonomy to classify investments and revenues according to sustainability criteria. The framework takes the Sustainable Development Goals into account and follows the ICMA Green Bond Principles and the LMA Green Loan Principles. ZF has issued two green bonds in 2021 and linked a Revolving Credit Facility (RCF) to its sustainability goal of reducing CO2e emissions in all three scopes of greenhouse gas emissions to achieve climate neutrality by 2040. In September 2022, ZF successfully placed an ESG-linked bonded loan, for which the repayment amount depends on the performance of the ZF’s EcoVadis rating.","FINANCING SUSTAINABILITY In the context of the EU strategy for financing sustainable growth (sustainable finance), financial institutions and credit rating agencies are calling for greater transparency and Environment, Social, Governance (ESG) commitment. As investors aim to reduce investment risks linked to sustainability issues, access to capital will increasingly depend on a company’s ability to implement successful sustainability management. ZF has responded to this with its climate strategy, the Green Finance Framework (GFF) and extended sustainability reporting."
What is ZF's approach to addressing sustainability and social responsibility?,"ZF has committed to acting in a socially responsible manner by signing the United Nations Global Compact in 2012 and has become a member of the Global Compact Network Germany. The company acknowledges the core labor standards of the International Labor Organization (ILO), the contents of the German Corporate Governance Code (DCGK), the OECD Guidelines for Multinational Enterprises, the Universal Declaration of Human Rights, and the UN Guiding Principles on Business and Human Rights. ZF also participates in various local and international campaigns and dialogues in the field of sustainability, such as the Sustainability Dialogue of the Zeppelin University and the European Association of Automotive Suppliers (CLEPA).","ZF committed itself to acting in a socially responsible manner by signing the United Nations Global Compact  in 2012. Since joining, ZF has also become a member  of the Global Compact Network Germany and actively  participates in exchanges between the member com- panies. The ZF Group therefore acknowledges the core  labor standards of the International Labor Organization  (ILO), the contents of the German Corporate Govern- ance Code (DCGK), the OECD Guidelines for Multina- tional Enterprises, the Universal Declaration of Human  Rights and the UN Guiding Principles on Business and  Human Rights."
What is the name of the association that represents the interests of the automotive industry in Germany?,Verband der Automobilindustrie e. V. (VDA),The list of associations includes the Verband der Automobilindustrie e. V. (VDA) as a representative of the automotive industry in Germany.
What is the goal of ZF's climate strategy?,To become climate neutral across all emission categories by 2040 and to pursue the vision of a circular economy.,"ZF follows an ambitious climate strategy to become climate neutral across all emission categories by 2040 and to pursue the vision of a circular economy, keeping valuable raw materials and resources in the economic cycle."
What is the name of the program launched by ZF to improve its materials CO2 e footprint?,Green Materials program,ZF has launched the 'Green Materials' program to further improve its materials CO2 e footprint.
What is the name of the framework developed by ZF to promote circularity in its operations?,ZF Circularity Framework,ZF has developed a strategic ZF Circularity Framework to promote circularity in its operations.
What is the primary objective of ZF's environmental strategy?,The primary objective of ZF's environmental strategy is to conserve natural resources and reduce the ecological footprint of the company.,"GUIDING POLICIES AND PRINCIPLES Conserving natural resources and reducing the ecological footprint of the company are fundamental principles of ZF’s environmental strategy. The corresponding environmental policy therefore includes essential areas of activity such as climate protection, the environmental impact of production, eco-friendly product design and the improvement of environmental performance."
What is the scope of ZF's climate strategy?,ZF's climate strategy focuses on reducing its corporate carbon footprint by an absolute figure of 80% regarding Scope 1 and Scope 2 and by 40% relative to sales regarding Scope 3. The ambition is to achieve net zero emissions in all three scopes by 2040.,The core of ZF’s climate strategy is the commitment to reduce its corporate carbon footprint until 2030 by an absolute figure of 80% regarding Scope 1 and Scope 2 and by 40% relative to sales regarding Scope 3. Our ambition is to achieve net zero emissions in all three scopes by 2040.
What is ZF's target for reducing greenhouse gas emissions?,"ZF's target is to reduce greenhouse gas emissions in line with the Paris Agreement and limit global warming to well below 2°C. According to scientific knowledge, the targets for reducing Greenhouse Gas (GHG) emissions from ZF’s own plants (Scope 1 and 2) contribute to limiting global warming to 1.5°C.","ZF’s climate strategy focuses on improving product design, material selection, electrification and supply chain structures. The Group’s target path towards climate neutrality is defined considering the UN Sustainable Development Goals (SDGs), and in accordance with the require-ZF Climate Neutrality 2040."
What are ZF's targets for reducing its greenhouse gas emissions?,"ZF undertakes to reduce its absolute Scope 1 and 2 GHG emissions by 80% by 2030, with 2019 as the base year. ZF also undertakes to reduce its Scope 3 GHG emissions by 40% per million euro sales by 2030, with 2019 as the base year. Additionally, ZF aims to increase its annual procurement of electricity from renewable energies from 10% in 2019 to 100% by 2030.",ZF climate targets at a glance
What steps has ZF taken to reduce energy consumption and improve energy efficiency?,"ZF has implemented various projects to detect leakages in compressed air systems, recover heat from industrial and washing processes, implement energy-efficient ventilation systems, and promote behavioral changes among employees. These measures have led to a constant improvement in energy efficiency and more than 121 GWh in energy savings in 2022 alone.","ZF has implemented various projects to detect leakages in compressed air systems, recover heat from industrial and washing processes, implement energy-efficient ventilation systems, and promote behavioral changes among employees. These measures have led to a constant improvement in energy efficiency and more than 121 GWh in energy savings in 2022 alone."
What was the decrease in ZF's absolute direct emissions (Scope 1) from 2021 to 2022?,"From 0.416 million tons in 2021 to 0.391 million tons in 2022, a decrease of 0.025 million tons. ",Absolute direct emissions (Scope 1) decreased from 0.416 million tons in 2021 to 0.391 million tons in 2022.
What was the decrease in ZF's absolute indirect emissions (Scope 2) from 2021 to 2022?,"From 0.941 million tons in 2021 to 0.776 million tons in 2022, a decrease of 0.165 million tons. ",Absolute indirect emissions (Scope 2) fell from 0.941 million tons in 2021 to 0.776 million tons in 2022.
What is the meaning of 'local for local' principle followed by ZF in procurement?,"The 'local for local' principle means that ZF tries to purchase materials and components in the same region where they are needed, i.e., locally. This helps to reduce the negative impacts of transportation. ","ZF therefore follows the 'local for local' principle, which helps to reduce the negative impacts of transportation. Of all production materials, 52% (2021: 51%) were procured locally. In this context, 'local' means that the supplier is located in the same country as the receiving ZF location."
What is the target set by ZF for achieving climate neutrality along the entire value chain by 2040?,"ZF's target is to achieve climate neutrality along the entire value chain by 2040. This is one of the most ambitious targets because Scope 3 emissions are not within ZF's direct sphere of influence. Therefore, the contribution of ZF's supply chain partners is key. ","Achieving climate neutrality along the entire value chain by 2040 is one of the most ambitious targets because Scope 3 emissions are not within ZF’s direct sphere of influence. Therefore, the contribution of our supply chain partners is key."
What percentage of ZF's procurement spend was sourced locally in 2022?,51%,"In this context, 'local' means that the supplier is located in the same country as the receiving ZF location."
What is the target for renewable energy use in ZF's supply chain by 2025?,100%,A fundamental expectation is the goal of '100% renewable energy for all new sourcing decisions by 2025'.
What are some of the sustainability-relevant activities in the supply chain that ZF has implemented?,"ZF has implemented measures such as setting up a framework for decarbonization of the supply chain, developing a 'ZF Supplier Guide and FAQ on Green Electricity', and introducing supplier product carbon footprints (PCF) in sourcing decisions.","In order to maintain an overview of the numerous sustainability-relevant activities in the supply chain and to be able to manage measures appropriately, the function Supply Chain Sustainability is now reporting directly to the Head of Materials Management (MM)."
What is the name of the program launched by ZF's R&D Department to reduce the company's materials CO 2e footprint?,Green Materials,"To improve ZF’s materials CO 2e footprint, the R&D Department launched the 'Green Materials' program in 2022. Multiple expert groups were established, covering the most important raw materials for ZF."
What is the name of the Swedish start-up that ZF has concluded a purchasing agreement with to acquire 'green steel'?,H2 Green Steel,ZF has therefore concluded a purchasing agreement with H2 Green Steel. This Swedish start-up aims to accelerate the decarbonization of the steel industry with new production processes.
What is the name of the system implemented by ZF to support the screening and classification of materials?,ZF Materials Warehouse (ZFMW),"To cover the entire materials management process, we completed implementing the ZF Materials Warehouse (ZFMW) in the reporting year."
What is the purpose of the ZF PCF Calculation Method Supply Chain?,"To ensure uniform calculation and reliability of provided data, ZF has introduced the ZF PCF Calculation Method Supply Chain (based on ISO 14040, ISO 14044, and ISO 14067).","In order to ensure uniform calculation and reliability of provided data, ZF has introduced the ZF PCF Calculation Method Supply Chain (based on ISO 14040, ISO 14044, and ISO 14067). Suppliers are to apply this method to calculate the PCFs of the parts that they provide to ZF."
What is the purpose of the training sessions conducted by ZF in 2021 and early 2022?,The purpose of the training sessions was to inform buyers about the importance of sustainability in the supply chain and about the upcoming changes in the sourcing process.,"In 2021 and early 2022, ZF conducted several training sessions for buyers on sustainability and the upcoming changes in the sourcing process."
What is the goal of ZF's circular economy approach?,ZF's circular economy approach aims to close material loops and reduce raw material extraction and CO2e emissions by increasing material efficiency and reducing waste.,"ZF is embedding circular economy within the organization through cross-functional collaboration, with a focus on building knowledge and creating awareness for closing material cycles."
What is the purpose of ZF's sustainable product design standard?,"ZF's sustainable product design standard aims to improve the environmental impact of products by considering aspects such as material health, reutilization, renewable energy, and carbon management, water stewardship, and social fairness.","ZF continues improving the design phase by updating the sustainable product design standard, which is evaluated based on aspects such as material health or reutilization, renewable energy and carbon management, water stewardship, and social fairness."
How does ZF ensure conformity with prohibited and regulated substances in its supply chain?,ZF applies its company standard ZFN 9003 'Control of Prohibited and Regulated Substances' and ZFN 9005 'Design for Sustainability' as well as international laws and regulations to ensure conformity with prohibited and regulated substances in its supply chain.,ZF monitors prohibited and regulated substances in its supply chain to ensure conformity with company standards and international laws and regulations.
What steps has ZF taken to reduce waste and promote sustainability in its operations?,"ZF has implemented several initiatives to reduce waste and promote sustainability in its operations. These include: setting a waste reduction target of 1% annually, reducing hazardous waste, optimizing processes, replacing hazardous substances, locally disposing of waste, and participating in remediation projects for contaminated sites. Additionally, ZF is committed to using recycled materials in production and has achieved a recycling rate of 89% in 2022.","ZF is committed to continuously reducing the amount of waste generated in its operations. To support the circular economy and close material loops, ZF set itself a waste reduction target: locations are expected to reduce waste for disposal relative to value added by 1% annually, with 2019 as the base year. ZF has also been working towards decreasing the volume of waste to be disposed of, as well as hazardous waste, by changing processes, optimizing procedures, and replacing hazardous substances used in operations. In order to avoid any transport risks, ZF does not export hazardous waste from one country to another and organizes waste disposal locally. In 2022, the total amount of waste decreased by 2.3%. ZF's environmental management system aims to continually reduce waste generation and increase recycling rates, contributing to the company's overall commitment to sustainability."
What is the primary objective of ZF's water management objective?,"To continuously reduce water withdrawal throughout the Group, with a target of a 2% reduction in water withdrawal annually relative to value added until 2025 for locations in areas where water scarcity determines public life, and a 1% reduction for all other locations.","The Group’s water management objective goes beyond reducing withdrawal in risk areas: The goal is to continuously reduce water withdrawal throughout the Group. The target is a water withdrawal reduction at ZF locations in areas where water scarcity determines public life of 2% annually relative to value added until 2025. For all other locations, a 1% reduction is being targeted on an annual basis."
What measures has ZF taken to reduce water withdrawal in water-stress areas?,"ZF has adapted its water supply to local circumstances and uses mainly untreated fresh water sources. At some locations, water from rivers or groundwater is used for cooling processes without any chemical treatment. ZF is also modernizing water supply at locations by renewing piping or by monitoring concepts to quickly detect leakages. Additionally, ZF makes use of available water treatment and reuse technologies to reduce freshwater withdrawal, particularly with regard to sanitary water.","ZF locations have adapted their water supply to local circumstances and use mainly untreated fresh water sources. At some locations, water from rivers or groundwater is used for cooling processes without any chemical treatment. In addition to the various projects aimed at reducing overall water withdrawal in production, ZF is modernizing water supply at locations by renewing piping or by monitoring concepts to quickly detect leakages. ZF also makes use of available water treatment and reuse technologies to reduce freshwater withdrawal, particularly with regard to sanitary water."
